entid,ANCHEYEAR,ANCHEDATE,EMPNUM,WOMEMPNUM,BUSST
1098183164,2014,2015-05-23,8.0,,0
793823151,2013,2014-02-23,7.0,,4
253310567,2014,2015-03-15,210.0,,0
861969081,2015,2016-07-11,,,0
966950408,2014,2015-07-05,,,0
679680967,2017,2018-10-24,8.0,2.0,11
406101516,2016,2017-02-14,12.0,9.0,11
406101516,2015,2016-07-26,13.0,,11
253310567,2016,2017-12-05,93.0,55.0,11
253310567,2017,2018-08-04,89.0,57.0,11
380336498,2014,,,,11
760576075,2015,,11.0,,11
100233421,2014,2015-02-26,7.0,,0
288764239,2014,2015-07-18,,,0
253310567,2015,2016-11-02,18.0,,0
122404006,2013,2015-05-22,,,0
122404006,2014,2015-06-22,,,0
517353431,2014,2015-02-02,,,0
372210897,2016,2017-12-24,6.0,4.0,11
1126948899,2015,2017-04-20,5.0,,11
966950408,2016,2017-02-16,49.0,25.0,11
288764239,2015,2017-07-30,8.0,,11
1036107901,2015,2016-12-09,4.0,,11
1005387686,2017,2018-04-30,10.0,8.0,13
380336498,2015,,,,11
760576075,2016,,5.0,,11
264061220,2013,2015-02-22,11.0,,0
507043244,2014,2015-12-30,,,0
966950408,2015,2016-02-12,,,0
577816325,2016,2017-02-22,9.0,4.0,11
679680967,2014,2016-09-04,10.0,,11
679680967,2016,2017-10-27,10.0,6.0,11
372210897,2017,2018-01-04,16.0,3.0,11
327107238,2014,2017-09-23,8.0,,11
1098183164,2015,2017-03-24,5.0,,11
1112373491,2015,2016-06-04,31.0,,11
1112373491,2017,2018-01-06,27.0,14.0,11
1036107901,2017,2018-06-26,3.0,10.0,11
190939668,2014,,,,11
1005387686,2015,2017-06-07,7.0,,11
380336498,2016,,,,11
1099944224,2014,2016-12-24,,,0
488975702,2013,2015-10-24,8.0,,0
679680967,2015,2016-04-04,2.0,,11
327107238,2016,2017-10-23,4.0,0.0,11
1126948899,2014,2017-11-20,7.0,,11
1098183164,2016,2017-04-24,12.0,4.0,11
1112373491,2016,2017-02-17,30.0,18.0,11
966950408,2017,2018-03-22,51.0,23.0,11
190939668,2015,,,,11
1005387686,2016,2017-01-07,7.0,8.0,11
507043244,2017,,,,11
1036107901,2018,,8.0,,0
253310567,2013,2014-12-06,210.0,,0
288764239,2013,2015-08-18,,,0
861969081,2013,2015-11-27,,,0
861969081,2016,2017-10-20,13.0,3.0,0
372210897,2014,2017-05-24,18.0,,11
372210897,2015,2017-08-24,13.0,,11
327107238,2013,2017-03-23,7.0,,11
327107238,2017,2018-04-22,7.0,8.0,11
1126948899,2016,2017-10-20,2.0,4.0,11
1099944224,2017,,,,18
343600466,2017,,3.0,,9
507043244,2015,,,,11
215297274,2014,2015-11-30,,,0
122404006,2015,2016-10-25,,,0
966950408,2013,2014-11-26,,,0
372210897,2013,2017-07-24,17.0,,11
1126948899,2013,2017-02-20,6.0,,11
406101516,2017,2018-01-30,13.0,9.0,11
1112373491,2014,2016-06-04,33.0,,11
1112373491,2013,2016-06-04,27.0,,11
1036107901,2016,2017-10-19,5.0,2.0,11
190939668,2016,,,,11
1099944224,2016,,,,18
94628547,2015,,9.0,,11
343600466,2014,,4.0,,11
507043244,2016,,10.0,,11
861969081,2014,2015-10-13,,,0
861969081,2017,2018-03-12,2.0,4.0,11
577816325,2015,2017-01-22,4.0,,11
327107238,2015,2017-03-23,2.0,,11
288764239,2017,2018-01-08,10.0,8.0,11
94628547,2016,,7.0,,11
380336498,2017,,2.0,,11
343600466,2015,,7.0,,9
760576075,2017,,11.0,,11
307832564,2014,2015-01-20,,,0
488975702,2014,2015-08-24,12.0,,0
264061220,2014,2015-06-22,14.0,,0
122404006,2016,2017-12-20,22.0,11.0,0
122404006,2017,2018-07-24,25.0,14.0,15
1126948899,2017,2018-12-26,6.0,1.0,11
1098183164,2017,2018-07-15,7.0,1.0,11
288764239,2016,2017-06-30,6.0,9.0,11
380336498,2013,,5.0,,11
343600466,2016,,8.0,,9
760576075,2014,,8.0,,11
1099944224,2015,,,,11
966950408,2018,2019-10-12,50.0,21.0,0
1098183164,2018,2019-05-28,9.0,3.0,0
288764239,2018,2019-07-17,5.0,7.0,0
1005387686,2018,2019-12-30,4.0,4.0,7
760576075,2018,2019-03-22,1.0,5.0,11
1099944224,2018,2019-12-23,5.0,6.0,11
861969081,2018,2019-11-28,6.0,,11
679680967,2018,2019-12-17,6.0,2.0,11
406101516,2018,2019-06-03,0.0,1.0,11
1126948899,2018,2019-02-28,7.0,2.0,9
372210897,2018,2019-03-09,10.0,0.0,11
253310567,2018,2019-11-05,26.0,28.0,11
122404006,2018,2019-05-21,15.0,11.0,15
1112373491,2018,2019-03-05,26.0,17.0,11
1022501713,2015,2016-10-06,14.0,,0
1080539525,2013,2014-09-08,10.0,,0
498426938,2013,2015-09-23,,,0
870389928,2013,2015-01-22,12.0,,0
870389928,2014,2015-02-22,11.0,,0
268673627,2014,2015-02-24,,,0
222738122,2014,2015-04-19,,,0
10711834,2015,2016-03-14,6.0,,0
455558271,2016,2017-07-17,2.0,9.0,11
1087381924,2017,2018-08-21,4.0,5.0,11
1024186033,2016,2017-04-17,38.0,11.0,11
222738122,2015,2016-02-02,22.0,,11
222738122,2017,2018-10-23,14.0,7.0,11
601440257,2015,2017-11-27,10.0,,11
601440257,2014,2017-11-27,5.0,,11
252988494,2016,2017-03-13,5.0,9.0,11
1080539525,2015,2016-07-23,9.0,,0
1087381924,2014,2015-07-26,,,0
310206872,2013,2015-09-13,,,0
218481195,2013,2015-01-29,13.0,,11
1151486512,2014,2017-06-23,9.0,,11
252988494,2015,2016-01-10,7.0,,11
424537795,2015,2017-05-01,4.0,,13
210467886,2014,2016-05-10,9.0,,11
310206872,2017,,,,18
301743547,2013,2014-10-17,,,0
310206872,2014,2015-08-13,,,0
1024186033,2014,2015-02-01,35.0,,0
1087381924,2015,2016-05-16,11.0,,11
316088181,2017,2018-09-21,13.0,9.0,11
1178264308,2016,2018-07-10,11.0,8.0,11
601440257,2013,2017-09-27,10.0,,11
223377099,2017,2018-12-19,5.0,7.0,11
210467886,2017,2018-02-28,7.0,4.0,11
173425626,2017,,1.0,,11
310206872,2016,,,,18
210383067,2014,2015-06-04,8.0,,0
841541151,2013,2015-07-26,15.0,,0
1024186033,2015,2017-11-17,33.0,,11
316088181,2015,2018-02-21,13.0,,13
1178264308,2014,2017-01-19,8.0,,11
1178264308,2017,2018-09-10,4.0,7.0,11
424537795,2013,2017-10-01,3.0,,13
173425626,2015,,,,11
455558271,2014,2015-06-29,,,1
498426938,2014,2015-07-23,,,0
268673627,2013,2014-05-16,,,0
223377099,2013,2014-09-18,3.0,,0
10711834,2013,2016-12-14,6.0,,0
1022501713,2016,2017-11-08,18.0,4.0,11
268673627,2015,2016-05-11,36.0,,11
1178264308,2015,2017-02-19,4.0,,11
601440257,2017,2018-05-29,12.0,6.0,11
154066294,2015,2016-12-19,2.0,,11
173425626,2016,,,,11
187043215,2015,,,,16
1022501713,2014,2015-03-28,16.0,,0
1022501713,2013,2014-01-27,10.0,,0
1087381924,2013,2015-02-26,,,0
154066294,2014,2015-03-27,11.0,,0
154066294,2013,2015-04-27,14.0,,0
222738122,2013,2014-09-30,6.0,,0
10711834,2014,2016-02-14,8.0,,0
218481195,2014,2015-04-29,10.0,,11
455558271,2017,2018-12-13,6.0,1.0,11
1022501713,2017,2018-02-21,14.0,9.0,11
222738122,2016,2017-08-09,7.0,9.0,11
1080539525,2017,2018-07-19,4.0,7.0,11
1080539525,2016,2017-10-23,3.0,11.0,11
268673627,2017,2018-10-11,17.0,2.0,11
841541151,2017,2018-03-24,13.0,4.0,11
154066294,2017,2018-08-27,5.0,9.0,11
210467886,2016,2017-01-02,12.0,9.0,11
245720891,2014,,,,16
603865048,2015,,,,11
1080539525,2014,2015-10-25,6.0,,0
301743547,2014,2015-10-16,,,0
140640476,2014,2015-09-06,,,0
455558271,2015,2016-08-13,,,1
223377099,2015,2016-03-13,1.0,,0
223377099,2014,2015-01-23,7.0,,0
223377099,2016,2017-03-20,10.0,8.0,0
1024186033,2017,2018-05-11,39.0,10.0,11
316088181,2016,2018-10-21,15.0,8.0,13
268673627,2016,2017-05-13,14.0,13.0,11
841541151,2016,2017-10-21,7.0,1.0,11
841541151,2015,2017-05-21,5.0,,11
1151486512,2015,2017-03-23,8.0,,11
1151486512,2016,2017-04-23,3.0,5.0,11
424537795,2016,2017-01-01,2.0,9.0,13
424537795,2017,2018-08-18,2.0,4.0,13
424537795,2014,2017-10-01,7.0,,13
154066294,2016,2017-08-27,4.0,5.0,11
245720891,2015,,,,16
498426938,2015,,,,11
603865048,2016,,,,11
210383067,2013,2015-10-04,4.0,,0
140640476,2013,2015-01-06,,,0
316088181,2013,2015-12-23,,,0
455558271,2013,2015-01-29,,,1
310206872,2015,2016-08-18,,,0
316088181,2014,2015-08-23,7.0,,0
173425626,2014,2015-08-18,,,0
841541151,2014,2015-10-26,20.0,,0
1087381924,2016,2017-08-20,16.0,12.0,0
1151486512,2017,2018-04-22,10.0,3.0,13
601440257,2016,2017-09-27,11.0,5.0,11
210467886,2015,2016-01-10,7.0,,11
222738122,2018,2019-04-01,11.0,5.0,0
1080539525,2018,2019-11-25,7.0,2.0,0
316088181,2018,2019-11-10,8.0,5.0,0
210467886,2018,2019-04-09,6.0,2.0,0
455558271,2018,2019-07-13,4.0,1.0,11
1178264308,2018,2019-03-11,4.0,1.0,11
154066294,2018,2019-05-15,4.0,0.0,11
841541151,2018,2019-09-25,5.0,9.0,11
1022501713,2018,2019-10-11,17.0,10.0,11
223377099,2018,2019-11-17,9.0,6.0,11
424537795,2018,2019-11-21,7.0,5.0,13
268673627,2018,2019-05-27,9.0,10.0,11
211101804,2014,2015-07-13,9.0,,0
1082407313,2014,2015-05-01,,,0
1194652581,2013,2014-12-23,,,0
803399659,2013,2014-07-12,,,0
332412177,2014,2015-02-28,,,0
1136409037,2015,2016-08-27,,,0
1082407313,2017,2018-06-08,10.0,15.0,11
618578351,2016,2017-03-30,12.0,9.0,13
362903000,2015,2016-01-20,28.0,,11
919821609,2015,,6.0,,11
95898023,2015,2016-10-23,4.0,,0
1136409037,2013,2014-10-24,,,0
989495682,2015,2016-03-17,,,0
810358507,2014,2015-05-10,,,0
109252429,2013,2015-11-20,5.0,,0
322323136,2014,2015-10-21,8.0,,0
1122732191,2014,2015-02-03,,,0
332412177,2017,2018-02-02,11.0,1.0,9
332412177,2015,2016-06-07,6.0,,11
617917621,2017,2018-12-25,22.0,14.0,11
1231967447,2016,2017-12-11,22.0,10.0,11
26019577,2017,2018-10-16,9.0,5.0,11
10698350,2017,,,,11
95898023,2017,,,,9
919821609,2016,,6.0,,11
332305361,2014,2015-06-16,,,0
332305361,2013,2014-11-18,,,0
885962709,2014,2015-10-29,7.0,,0
725175640,2014,2015-03-18,,,0
109252429,2014,2015-05-21,6.0,,0
26019577,2015,2016-03-13,,,0
1215158860,2013,2015-03-30,,,0
362903000,2016,2017-03-14,41.0,15.0,11
989495682,2016,2017-07-16,3.0,5.0,13
1231967447,2014,2016-04-30,17.0,,11
1231967447,2015,2016-06-30,20.0,,11
777755253,2015,2017-02-22,20.0,,11
10698350,2015,,,,11
150680780,2014,2015-03-30,,,0
1194652581,2014,2015-01-16,,,4
803399659,2014,2015-05-15,,,0
362903000,2014,2015-04-13,,,0
856331759,2017,2018-11-14,20.0,10.0,11
618578351,2015,2016-12-15,7.0,,11
1122732191,2017,2018-03-24,11.0,7.0,11
617917621,2015,2016-10-14,7.0,,11
1231967447,2017,2018-03-25,21.0,9.0,11
777755253,2013,2017-09-22,23.0,,11
777755253,2016,2017-01-22,22.0,17.0,11
10698350,2016,,,,11
211101804,2013,2015-11-13,6.0,,0
1115273959,2015,2016-07-17,,,0
1136409037,2014,2015-05-07,,,0
1215158860,2014,2015-01-30,,,0
