entid,ANCHEYEAR,INV,TRANSAMPR,TRANSAMAFT,ALTDATE
959830672,2014,37,0.1621847189073845,101.96914949985728,2014-11-03
959830672,2014,294,100.90541056173186,-0.6400968998809454,2014-12-03
658987796,2014,357,59.8725289380137,0.5860562701354783,2014-12-06
658987796,2014,316,-0.0753771985800965,-0.6649071628493524,2014-06-25
658987796,2014,290,0.4193838555125942,9.575938328164709,2014-12-06
658987796,2014,105,8.005456979390528,0.3520697902167155,2014-11-06
658987796,2014,84,33.86319399041101,91.9599623802061,2014-04-06
658987796,2014,84,91.45295729910306,98.45986543377256,2014-07-25
658987796,2016,19,-0.6252127791278881,0.3591895425010601,2016-11-12
658987796,2016,316,1.809926604734335,0.5808996119370029,2016-08-12
805505073,2013,42,0.9989004602312608,13.47454240633648,2014-12-27
805505073,2013,41,1.1466967905906509,13.436878873394695,2014-02-27
805505073,2013,40,33.847331186901464,48.03056572553497,2014-07-27
805505073,2013,45,25.89267327781412,25.19793149520069,2014-03-27
805505073,2013,10,37.53273564073336,-0.5890513500994768,2014-03-27
606816694,2015,43,-2.2213821980109074,80.2713639733042,2015-02-26
606816694,2015,121,79.3868647125365,1.188596603621748,2015-12-26
606816694,2017,43,0.7977226187300632,79.09641709641069,2015-10-04
606816694,2017,104,1.246883833554614,19.108035908850862,2017-12-16
606816694,2017,135,9.847912981215172,-1.0781561594239462,2017-02-16
606816694,2017,33,9.731352635642136,-1.2910691514710633,2017-09-16
606816694,2017,121,78.65533595046321,1.3972743331745934,2015-07-04
606816694,2018,43,77.63701536379544,0.3860945670925399,2018-06-16
606816694,2018,104,20.91055637112452,100.89585717204815,2018-12-16
606816694,2017,43,-0.1932053186993164,80.12239986222609,2015-11-03
606816694,2017,104,-0.3525696152147114,18.843436985389157,2017-09-15
606816694,2017,121,78.91989847344962,-0.8281066105006022,2015-11-03
606816694,2017,135,10.529749210916064,0.3047170933152093,2017-01-15
606816694,2017,33,11.121712630071292,-1.0038355703626345,2017-08-15
982196289,2016,346,25.20512740595553,0.0142907851143658,2016-10-20
982196289,2016,253,25.608345549970103,0.5594908924733449,2016-02-20
982196289,2016,216,23.984386872684084,1.6665704694294086,2016-05-20
982196289,2016,171,25.377145538523266,99.77079491754968,2016-01-20
1001226199,2015,256,100.19295430204212,-0.3080823506148412,2015-02-03
1001226199,2015,34,-0.2266725889550009,100.3960971687508,2015-07-03
640968401,2017,305,97.81270972904784,98.63549996627007,2017-11-29
640968401,2018,305,102.4385748209676,2.6786213214895955,2018-06-25
640968401,2018,79,1.110894540818694,98.90717780589736,2018-10-25
21702078,2016,143,28.746614371070727,-1.477088170206384,2016-04-27
21702078,2016,182,40.42607085308482,1.3089693734878751,2016-02-27
21702078,2016,148,-0.4737835411008453,97.59447916762058,2016-09-27
21702078,2016,112,0.8629015706924303,-0.6121161956897976,2016-04-27
