entid,MEMNNUM,FARNUM,ANNNEWMEM,ANNREDMEM,ANCHEYEAR
5601451,12,14.0,3.0,2.0,2014
5601451,12,6.0,0.0,5.0,2015
5601451,6,8.0,9.0,8.0,2016
5601451,9,14.0,7.0,6.0,2017
1188494948,164,,,,2015
1188494948,161,156.0,3.0,2.0,2017
1188494948,168,156.0,4.0,9.0,2016
938506540,10,11.0,6.0,1.0,2014
938506540,14,16.0,6.0,2.0,2017
938506540,58,52.0,2.0,3.0,2016
938506540,7,10.0,2.0,9.0,2015
1165193070,73,70.0,9.0,4.0,2015
1165193070,71,68.0,0.0,3.0,2016
1165193070,66,17.0,9.0,5.0,2014
1165193070,73,64.0,5.0,6.0,2017
68108625,158,156.0,154.0,4.0,2017
68108625,11,13.0,7.0,5.0,2014
68108625,8,7.0,2.0,0.0,2015
68108625,13,12.0,7.0,7.0,2016
1165153101,125,126.0,3.0,3.0,2017
1165153101,120,123.0,4.0,1.0,2016
1165153101,21,16.0,6.0,1.0,2015
1165153101,127,123.0,4.0,5.0,2014
191927158,10,6.0,0.0,9.0,2014
191927158,8,7.0,8.0,2.0,2016
191927158,5,10.0,0.0,7.0,2015
434519880,18,17.0,0.0,5.0,2017
434519880,56,51.0,4.0,3.0,2014
434519880,16,18.0,9.0,2.0,2016
434519880,15,23.0,3.0,2.0,2015
768242114,20,29.0,2.0,5.0,2016
768242114,21,24.0,9.0,17.0,2015
768242114,24,28.0,9.0,4.0,2017
768242114,32,36.0,10.0,5.0,2014
607213067,3,0.0,1.0,6.0,2016
607213067,5,8.0,4.0,3.0,2015
607213067,12,13.0,9.0,0.0,2014
607213067,5,14.0,0.0,7.0,2017
459280027,110,107.0,6.0,9.0,2016
459280027,113,113.0,9.0,0.0,2017
685512108,15,,3.0,6.0,2014
685512108,19,,5.0,4.0,2013
685512108,14,22.0,7.0,5.0,2017
685512108,19,21.0,4.0,7.0,2016
1035196264,129,127.0,8.0,7.0,2017
1035196264,110,,0.0,8.0,2014
1035196264,127,,2.0,4.0,2015
1035196264,127,,3.0,4.0,2016
560452849,104,,,,2015
560452849,13,6.0,5.0,2.0,2016
560452849,23,,,,2014
741642233,12,9.0,0.0,9.0,2014
741642233,6,8.0,0.0,3.0,2016
