entid,honor_num,illegad_num,yea_sub,web_dum,ENTTYPE,INDUSTRYPHY,REGCAP,REGCAPCUR,RECCAP,PARNUM,LIMPARNUM,PARFORM,EXENUM,brand_num,cancel_dum,certificate_num,tax_dum
959830672,,,,1,5,11,38000.0,156.0,1000.0,,,,,,0,2.0,0
620868429,,,,0,8,9,10000.0,156.0,10000.0,,,,,,0,,0
658987796,,,,1,3,11,10000.0,156.0,500.0,,,,,,0,,0
805505073,,,,0,8,11,31000.0,156.0,31000.0,,,,,,0,2.0,0
127466506,,,,0,28,9,,156.0,,,0.0,,1.0,,0,2.0,0
103517987,,,,0,35,2,83.7,156.0,83.7,,,,0.0,,0,,0
408215553,,,,0,28,9,0.0,,0.0,,,,,,0,1.0,0
936352630,,,,1,28,9,0.0,,0.0,,,,0.0,,0,,0
606816694,,,,0,7,11,300.0,156.0,300.0,,,,,,0,,0
1031153973,,,,0,3,11,100.0,156.0,3.0,,,,,,0,,0
1231967447,,,,0,27,9,0.0,,0.0,,,,0.0,,0,1.0,0
211101804,,,,0,3,8,110.0,156.0,110.0,,,,,,1,,0
1112373491,,,,0,28,9,0.0,,0.0,,,,,,0,1.0,0
533954281,,,,0,5,11,50.0,156.0,50.0,,,,0.0,,0,,0
439588592,,,,0,3,11,3000.0,156.0,3000.0,,,,0.0,,0,,0
989495682,,,,0,3,11,1500.0,156.0,,,,,,,0,,0
532580930,,,,0,3,11,1000.0,156.0,1000.0,,,,,,0,,0
982196289,,,,0,3,11,125.0,156.0,50.0,,,,,,0,,0
210167448,,,,0,44,11,4600.0,156.0,0.0,,,,,,0,,0
332305361,,,,0,3,11,300.0,156.0,300.0,,,,,,0,,0
1001226199,,,,0,5,11,1000.0,156.0,0.0,,,,,,0,,0
1190925362,,,,0,44,11,10.0,156.0,0.0,,,,,,0,,0
252988494,,,,0,3,11,100.0,156.0,100.0,,,,0.0,,0,,0
944659388,,,,0,3,11,2000.0,156.0,2000.0,,,,,,0,,0
190939668,,,,0,5,11,200.0,156.0,0.0,,,,,,0,,0
1151638109,,,,0,3,11,500.0,156.0,0.0,,,,0.0,,0,,0
189295442,,,,0,3,11,10.0,156.0,10.0,,,,,,0,,0
601440257,,,,0,3,11,1000.0,156.0,1000.0,0.0,0.0,,0.0,,0,,0
777755253,,,,0,27,9,0.0,156.0,0.0,,,,,,0,1.0,0
176043597,,,,0,3,11,100.0,156.0,100.0,,,,0.0,,0,,0
75481607,,,,0,5,11,100.0,156.0,0.0,,,,0.0,,0,,0
813963206,,,,0,17,11,0.0,,0.0,,,,0.0,,0,,0
640968401,,,,0,6,11,700.0,156.0,6000.0,,,,,,0,,0
470090013,,,,0,5,11,300.0,156.0,0.0,,,,0.0,,0,,0
848068003,,,,0,5,11,10.0,156.0,10.0,0.0,0.0,,0.0,,0,,0
213804497,,,,0,3,11,500.0,156.0,0.0,,,,0.0,,0,,0
109252429,,,,0,3,11,500.0,156.0,500.0,,,,,,0,,0
871120598,,,,0,3,11,500.0,156.0,0.0,,,,,,0,,0
1151486512,,,,0,3,11,50.0,156.0,0.0,,,,,,0,,0
763566074,,,,0,3,11,50.0,156.0,50.0,,,,,,0,1.0,0
1133313391,,,,0,5,9,10.0,156.0,10.0,,,,0.0,,0,,0
115339998,,,,0,3,5,50.0,156.0,50.0,,,,,,0,1.0,0
215297274,,,,0,17,11,,156.0,0.0,,,,0.0,,0,,0
477609768,,,,0,17,11,0.0,,0.0,,,,,,0,,0
225865950,,,,0,3,11,50.0,156.0,50.0,,,,,,0,1.0,0
85625020,,,,0,17,11,0.0,156.0,0.0,,,,,,0,1.0,0
332412177,,,,0,3,11,50.0,156.0,50.0,,,,,,0,1.0,0
392624698,,,,0,17,11,0.0,156.0,0.0,,,,,,0,1.0,0
21702078,,,,0,3,11,100.0,156.0,0.0,,,,0.0,,0,,0
530658986,,,,0,5,11,100.0,156.0,0.0,,,,,,0,,0
613690678,,,,0,17,11,0.0,156.0,0.0,,,,,,0,,0
35566715,,,,0,57,11,0.0,156.0,0.0,,,,0.0,,0,,0
1036107901,,,,0,8,11,1000.0,156.0,0.0,,,,0.0,,0,,0
1126948899,,,,0,3,11,50.0,156.0,50.0,,,,0.0,,0,,0
1094770755,,,,0,3,11,100.0,156.0,100.0,,,,,,0,1.0,0
1074043626,,,,0,3,11,2000.0,156.0,2000.0,,,,0.0,,0,,0
288764239,,,,0,5,11,10.0,156.0,10.0,,,,0.0,,0,,0
398431409,,,,0,3,5,3.0,156.0,3.0,,,,,,0,1.0,0
980472682,,,,0,17,9,0.0,,0.0,,,,0.0,,0,,0
1222676313,,,,0,3,11,5.0,156.0,5.0,,,,,,0,1.0,0
1021133736,,,,0,3,11,100.0,156.0,100.0,,,,,,0,1.0,0
566709980,,,,0,3,11,50.0,156.0,50.0,,,,,,0,,0
300801599,,,,0,3,11,3.0,156.0,3.0,,,,,,0,,0
1063012839,,,,0,3,11,30.0,156.0,30.0,,,,,,0,,0
1187619116,,,,0,5,11,50.0,156.0,50.0,,,,,,0,,0
58165557,,,,0,3,11,1000.0,156.0,200.0,,,,,,0,,0
514427770,,,,0,5,11,490.0,156.0,490.0,,,,,,0,,0
1005387686,,,,0,5,11,10.0,156.0,0.0,,,,0.0,,0,,0
460609992,,,,0,17,11,0.0,,0.0,,,,,,0,,0
860188978,,,,0,3,11,490.0,156.0,490.0,,,,,,0,,0
1094485325,,,,0,3,11,500.0,156.0,0.0,,,,,,0,,0
635706789,,,,0,5,9,100.0,156.0,0.0,,,,0.0,,0,,0
135026013,,,,0,5,11,300.0,156.0,0.0,,,,,,0,,0
424007840,,,,0,5,9,500.0,156.0,0.0,,,,0.0,,0,,0
1057417896,,,,0,3,11,300.0,156.0,0.0,,,,0.0,,0,,0
854368587,,,,0,17,11,0.0,,0.0,,,,,,0,,0
274537741,,,,0,3,11,1000.0,156.0,0.0,,,,0.0,,0,,0
146477661,,,,0,3,11,50.0,156.0,50.0,,,,,,0,,0
207370900,,,,0,3,11,50.0,156.0,0.0,,,,,,0,,0
812482882,,,,0,16,9,0.0,156.0,0.0,,,,0.0,,0,1.0,0
972603126,,,,0,5,11,300.0,156.0,0.0,,,,,,0,,0
893839911,,,,0,5,11,10.0,156.0,0.0,,,,0.0,,0,,0
213159696,,,,0,5,11,60.0,156.0,0.0,,,,0.0,,0,,0
670991159,,,,0,3,11,3.0,156.0,3.0,,,,0.0,,0,,0
