entid,ALTDATE,ALTTIME
959830672,2011-01-04,
959830672,2011-01-27,
959830672,2013-12-09,
959830672,2017-05-29,
959830672,2014-03-04,
959830672,2014-03-05,2.0
959830672,2014-08-04,
959830672,2015-07-09,
959830672,2015-08-09,
959830672,2013-02-25,
959830672,2011-12-18,
959830672,2014-02-04,
959830672,2011-07-04,
959830672,2014-03-05,
959830672,2015-12-09,
959830672,2011-04-20,
959830672,2013-01-09,
959830672,2011-06-11,
959830672,2012-09-09,
959830672,2011-10-11,
959830672,2011-03-11,
959830672,2012-12-09,
620868429,2015-03-18,
658987796,2012-08-29,
658987796,2014-01-12,
658987796,2016-07-13,
658987796,2014-12-06,
658987796,2014-04-06,
658987796,2012-06-14,
658987796,2015-01-18,
658987796,2014-08-10,
658987796,2014-10-25,
658987796,2012-03-14,
658987796,2012-09-10,
658987796,2015-10-19,
658987796,2012-02-09,
658987796,2014-02-06,
658987796,2012-02-14,
658987796,2014-01-10,
658987796,2014-04-25,
658987796,2014-11-26,
658987796,2016-02-13,
805505073,,
805505073,,
805505073,,
805505073,2010-07-09,
805505073,2010-11-12,
805505073,2009-03-02,
805505073,2011-06-04,
805505073,2005-07-26,1.0
805505073,2006-11-30,2.0
805505073,2007-04-05,3.0
805505073,2009-12-13,4.0
805505073,2010-06-12,5.0
805505073,2011-08-04,6.0
805505073,2011-06-01,7.0
805505073,2011-01-01,8.0
805505073,2011-03-29,9.0
805505073,2012-04-18,10.0
805505073,,
805505073,2012-07-18,
805505073,2014-12-20,
805505073,2010-09-07,
805505073,2010-10-09,
805505073,2009-02-21,
805505073,2009-08-02,
805505073,2013-03-02,
805505073,2014-01-17,
805505073,2010-05-12,
805505073,2009-06-16,0.0
805505073,2006-04-30,
805505073,2009-09-16,0.0
127466506,2016-05-17,
127466506,2011-10-20,
127466506,2018-01-29,
408215553,2017-04-27,
408215553,2015-08-29,1.0
408215553,2015-02-28,1.0
408215553,2017-08-27,
408215553,2018-02-05,
408215553,2018-06-05,
408215553,2019-11-24,
936352630,2014-02-23,
936352630,2017-04-20,
936352630,2017-06-20,
936352630,2016-02-19,
936352630,2014-12-23,
936352630,2012-08-17,
606816694,2017-08-16,
606816694,2015-09-04,
606816694,2017-01-16,
606816694,2015-01-04,
606816694,2013-05-07,
606816694,2015-01-04,
606816694,2015-09-04,3.0
606816694,2017-09-16,
606816694,2013-09-07,
606816694,2010-07-16,
606816694,2013-09-07,
606816694,2018-01-04,
606816694,2018-06-04,
606816694,2018-09-04,
606816694,2018-08-17,
606816694,2018-08-17,
606816694,2018-03-17,
606816694,2018-07-17,
1031153973,2016-07-02,
1031153973,2016-02-02,
1031153973,2016-07-02,
1031153973,2016-07-02,
1031153973,2016-07-02,
1031153973,2016-09-02,
1031153973,2016-11-02,
1031153973,2016-10-02,1.0
1031153973,2017-11-24,
1031153973,2017-11-24,
1031153973,2017-09-24,
1031153973,2017-02-24,
1031153973,2017-06-24,
1031153973,2017-05-24,
1231967447,2015-12-27,1.0
1231967447,2015-02-27,
1231967447,2016-12-03,2.0
1231967447,2017-04-23,
1231967447,2015-07-27,
1231967447,2015-02-27,1.0
1231967447,2015-07-27,
1231967447,2017-12-23,
1231967447,2015-10-27,1.0
1231967447,2020-02-02,
1231967447,2020-07-02,
1231967447,2020-02-02,
1231967447,2020-11-02,
1231967447,2020-03-24,
1231967447,2020-07-24,
211101804,2013-01-14,1.0
211101804,2013-05-14,1.0
211101804,2014-04-27,2.0
1112373491,2011-05-31,
1112373491,2016-03-28,
1112373491,2006-08-04,
1112373491,2006-03-11,
1112373491,2006-08-04,
1112373491,2006-02-04,
1112373491,2015-05-29,
1112373491,2015-08-29,
1112373491,2011-09-30,
1112373491,2009-08-17,
1112373491,2006-09-04,
1112373491,2006-04-04,
1112373491,2007-05-23,
1112373491,2011-06-30,
1112373491,2006-12-04,
1112373491,2006-07-04,
1112373491,2006-04-04,
1112373491,2006-11-04,
1112373491,2006-09-04,
1112373491,2011-08-31,
1112373491,2006-11-04,
1112373491,2006-12-04,
1112373491,2011-02-28,
1112373491,2019-07-23,
1112373491,2006-09-04,
1112373491,2019-05-23,
1112373491,2006-10-04,
1112373491,2019-01-23,
982196289,2016-11-21,
