,symbol,date,open,high,low,close,volume,adjusted,market.cap,sector,industry,exchange
1,TXG,9/12/2019,54,58,51,52.75,7326300,52.75,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
2,TXG,9/13/2019,52.75,54.355,49.150002,52.27,1025200,52.27,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
3,TXG,9/16/2019,52.450001,56,52.009998,55.200001,269900,55.200001,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
4,TXG,9/17/2019,56.209999,60.900002,55.423,56.779999,602800,56.779999,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
5,TXG,9/18/2019,56.849998,62.27,55.650002,62,1589600,62,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
6,TXG,9/19/2019,62.810001,63.375,61.029999,61.119999,425200,61.119999,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
7,TXG,9/20/2019,61.709999,62.419998,59.82,60.5,392000,60.5,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
8,TXG,9/23/2019,60.220001,61.485001,59.939999,60.330002,137200,60.330002,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
9,TXG,9/24/2019,61,61,54,54.299999,713800,54.299999,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
10,TXG,9/25/2019,54.459999,55.880001,52.563,52.759998,261200,52.759998,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
11,TXG,9/26/2019,52.779999,53.689999,46.619999,49.990002,596300,49.990002,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
12,TXG,9/27/2019,51.130001,55,50.700001,51.029999,621300,51.029999,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
13,TXG,9/30/2019,51.049999,52,49.25,50.400002,168900,50.400002,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
14,TXG,10/1/2019,50.509998,51.919998,46,47.029999,536300,47.029999,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
15,TXG,10/2/2019,46.779999,47.23,45.110001,46.07,519600,46.07,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
16,TXG,10/3/2019,46.77,48.240002,45.75,48.119999,703900,48.119999,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
17,TXG,10/4/2019,48,53.34,47.82,51.450001,322400,51.450001,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
18,TXG,10/7/2019,52.099998,53.220001,49.029999,50.360001,476600,50.360001,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
19,TXG,10/8/2019,50,51.27,49,49.549999,284100,49.549999,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
20,TXG,10/9/2019,49.630001,51.525002,49.575001,50.009998,201100,50.009998,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
21,TXG,10/10/2019,50.549999,50.549999,48.099998,48.439999,222100,48.439999,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
22,TXG,10/11/2019,48.41,50.220001,48.119999,49.299999,135700,49.299999,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
23,TXG,10/14/2019,49.310001,51.220001,49,50.259998,83600,50.259998,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
24,TXG,10/15/2019,50.5,51.650002,48.509998,48.66,95100,48.66,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
25,TXG,10/16/2019,48.540001,51.75,48.502998,51.130001,139500,51.130001,$9.31B,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
