entid,region_id,entertype_tax,industry_tax,registertype,economic_type,incometax_rate,collection_type,EMPNUM,year
959830672,3,0.0,2.0,19,42,0.25,0,13.0,
959830672,3,,,19,206,,2,2.0,2016.0
959830672,3,,,19,206,0.25,2,2.0,2017.0
620868429,0,0.0,2.0,8,48,0.25,0,10.0,
620868429,0,,,8,182,,2,1.0,2016.0
620868429,0,,,8,182,,2,12.0,2015.0
620868429,0,,,8,182,0.25,2,12.0,2017.0
658987796,2,0.0,2.0,8,45,0.25,0,9400.0,
658987796,2,,,8,206,,2,8203.0,2016.0
658987796,2,,,8,174,,2,3.0,2015.0
658987796,2,,,8,206,0.25,2,0.0,2017.0
805505073,3,0.0,2.0,8,55,0.25,0,25.0,
805505073,3,,,8,221,,2,1.0,2016.0
805505073,3,,,8,205,,2,11.0,2015.0
805505073,3,,,8,162,0.25,2,1.0,2017.0
103517987,17,0.0,1.0,2,5,0.25,1,,
103517987,17,,,2,94,,2,2.0,2016.0
103517987,17,,,2,94,,2,4.0,2015.0
103517987,17,,,2,94,0.25,2,4.0,2017.0
936352630,24,1.0,2.0,8,36,0.25,0,15.0,
936352630,24,,,12,168,,2,15.0,2016.0
936352630,38,,,10,168,,2,15.0,2015.0
606816694,26,0.0,2.0,8,22,0.25,0,15.0,
606816694,26,,,8,206,,2,24.0,2016.0
606816694,26,,,8,206,,2,2.0,2015.0
606816694,26,,,19,123,0.25,2,6.0,2017.0
1031153973,26,,,8,211,,2,3.0,2016.0
1031153973,33,,,8,211,0.25,2,2.0,2017.0
1231967447,24,1.0,2.0,9,36,0.25,0,14.0,
1231967447,24,,,11,168,,2,14.0,2016.0
1231967447,38,,,10,168,,2,14.0,2015.0
211101804,9,1.0,2.0,8,61,0.25,0,5.0,
439588592,25,0.0,2.0,8,67,0.25,0,,
439588592,26,,,8,236,,2,4.0,2016.0
439588592,26,,,8,236,,2,4.0,2015.0
532580930,64,0.0,2.0,8,67,0.25,0,,
532580930,64,,,8,222,,2,3.0,2015.0
982196289,42,0.0,2.0,19,56,0.25,0,,
982196289,42,,,19,206,,2,3.0,2016.0
982196289,52,,,19,206,,2,3.0,2015.0
982196289,52,,,19,206,0.25,2,1.0,2017.0
332305361,43,0.0,2.0,8,48,0.25,0,,
332305361,43,,,8,182,,2,5.0,2015.0
1001226199,42,0.0,2.0,19,55,0.25,0,1.0,
1001226199,42,,,19,211,,2,2.0,2016.0
1001226199,50,,,19,211,,2,2.0,2015.0
1001226199,50,,,19,211,0.25,2,1.0,2017.0
1151638109,139,,,8,211,,2,2.0,2016.0
601440257,73,0.0,2.0,8,23,0.25,0,3.0,
601440257,73,,,8,206,,2,3.0,2016.0
601440257,73,,,8,136,,2,3.0,2015.0
601440257,70,,,8,206,0.25,2,3.0,2017.0
75481607,72,,,8,211,,2,3.0,2016.0
813963206,86,,,8,222,0.25,2,2.0,2017.0
640968401,68,0.0,2.0,8,67,0.25,0,1.0,
640968401,68,,,8,222,,2,3.0,2016.0
640968401,68,,,8,222,0.25,2,3.0,2017.0
213804497,78,,,8,206,,2,3.0,2016.0
213804497,78,,,8,206,0.25,2,3.0,2017.0
109252429,68,0.0,2.0,8,66,0.25,0,3.0,
109252429,68,,,8,221,,2,3.0,2016.0
871120598,68,,,8,211,,2,2.0,2016.0
763566074,68,,,8,182,,2,2.0,2016.0
115339998,67,0.0,,19,27,0.25,0,,
85625020,67,0.0,2.0,8,61,0.25,0,,
332412177,67,0.0,2.0,8,67,0.25,0,,
392624698,67,,,19,206,,2,2.0,2016.0
21702078,67,,,8,211,,2,3.0,2016.0
21702078,67,,,8,211,,2,2.0,2015.0
21702078,67,,,8,211,0.25,2,3.0,2017.0
530658986,68,,,8,211,,2,2.0,2016.0
35566715,68,,,24,211,,2,2.0,2016.0
1036107901,69,,,8,210,,2,3.0,2016.0
1036107901,69,,,8,210,0.25,2,1.0,2017.0
1126948899,68,0.0,2.0,8,61,0.25,0,2.0,
1126948899,68,,,8,211,,2,2.0,2016.0
1126948899,68,,,8,211,0.25,2,2.0,2017.0
1094770755,67,0.0,2.0,8,56,0.25,0,3.0,
1094770755,67,,,8,206,,2,2.0,2016.0
1094770755,67,,,8,206,0.25,2,2.0,2017.0
1074043626,68,0.0,2.0,8,42,0.25,0,1.0,
1074043626,68,,,8,172,,2,3.0,2016.0
1074043626,68,,,8,172,0.25,2,3.0,2017.0
288764239,68,0.0,2.0,8,76,0.25,0,,
398431409,67,0.0,2.0,19,27,0.25,1,,
398431409,67,,,19,152,,2,5.0,2016.0
980472682,73,,,8,182,,2,1.0,2016.0
1222676313,67,0.0,2.0,8,61,0.25,0,,
1021133736,67,0.0,2.0,8,56,0.25,0,,
566709980,68,0.0,2.0,8,68,0.25,0,2.0,
300801599,68,0.0,2.0,8,70,0.25,0,,
1063012839,68,,,8,211,,2,3.0,2016.0
1187619116,68,0.0,2.0,8,55,0.25,0,1.0,
1187619116,68,,,8,211,,2,2.0,2016.0
514427770,69,0.0,2.0,8,76,0.25,1,,
1005387686,114,,,19,211,,2,1.0,2016.0
1005387686,114,,,19,211,,2,3.0,2015.0
1005387686,114,,,19,211,0.25,2,1.0,2017.0
460609992,68,0.0,2.0,8,55,0.25,0,3.0,
460609992,68,,,8,211,,2,2.0,2016.0
460609992,68,,,8,211,,2,2.0,2015.0
1094485325,68,0.0,2.0,8,55,0.25,0,2.0,
1094485325,68,,,8,211,,2,2.0,2016.0
635706789,68,,,19,183,0.25,2,2.0,2017.0
135026013,68,,,8,211,,2,3.0,2016.0
424007840,80,,,8,210,,2,2.0,2016.0
854368587,68,,,8,211,,2,2.0,2016.0
146477661,68,0.0,2.0,8,55,0.25,0,,
146477661,68,,,8,211,,2,3.0,2016.0
207370900,68,,,8,211,,2,3.0,2016.0
207370900,68,,,8,211,0.25,2,2.0,2017.0
972603126,97,0.0,2.0,8,23,0.25,0,2.0,
972603126,97,,,8,134,,2,2.0,2016.0
893839911,97,0.0,2.0,19,27,0.25,0,2.0,
893839911,97,,,19,150,,2,3.0,2016.0
213159696,68,,,19,211,,2,3.0,2016.0
307832564,67,0.0,2.0,19,27,0.25,0,1.0,
307832564,67,,,19,148,,2,3.0,2016.0
77287261,74,,,8,210,,2,3.0,2016.0
420128370,75,,,19,222,,2,1.0,2016.0
1026610675,68,,,8,211,,2,3.0,2016.0
198645614,73,0.0,2.0,8,23,0.25,0,2.0,
198645614,73,,,8,126,,2,1.0,2016.0
198645614,73,,,8,126,,2,3.0,2015.0
198645614,73,,,8,126,0.25,2,1.0,2017.0
434369652,73,0.0,2.0,8,55,0.25,0,3.0,
434369652,73,,,8,222,,2,5.0,2016.0
434369652,73,,,8,222,,2,5.0,2015.0
770023067,73,,,8,206,,2,2.0,2016.0
770023067,73,,,8,206,0.25,2,2.0,2017.0
320426589,68,,,8,211,,2,2.0,2016.0
320426589,68,,,8,211,,2,2.0,2015.0
1020595851,73,,,8,210,,2,2.0,2016.0
1020595851,73,,,8,210,,2,2.0,2015.0
720509517,81,,,8,210,,2,3.0,2016.0
885727648,89,,,8,206,,2,3.0,2016.0
100233421,68,,,8,211,,2,2.0,2016.0
362903000,85,0.0,1.0,8,9,0.25,0,48.0,
362903000,85,,,19,100,,2,34.0,2016.0
362903000,85,,,8,107,,2,5.0,2015.0
362903000,85,,,19,100,0.25,2,62.0,2017.0
885686552,68,,,8,211,,2,3.0,2016.0
919169251,86,0.0,2.0,8,55,0.25,0,,
841541151,86,,,8,222,0.25,2,2.0,2017.0
915092028,76,0.0,2.0,8,67,0.25,1,,
915092028,74,,,8,222,,2,1.0,2016.0
210383067,73,0.0,2.0,8,61,0.25,0,2.0,
210383067,73,,,8,211,,2,3.0,2016.0
210383067,70,,,8,211,,2,3.0,2015.0
195815638,94,0.0,2.0,19,42,0.25,0,,
407546436,89,,,19,222,,2,3.0,2016.0
725175640,68,,,8,211,,2,1.0,2016.0
725175640,68,,,8,211,,2,3.0,2015.0
327107238,91,,,8,222,,2,1.0,2016.0
327107238,93,,,8,222,0.25,2,1.0,2017.0
1201794855,97,,2.0,8,67,0.25,1,,
1113540454,67,,,19,211,,2,2.0,2016.0
372210897,121,0.0,2.0,8,23,0.25,0,10.0,
372210897,121,0.0,2.0,8,23,0.25,0,,
372210897,121,,,8,144,,2,1.0,2016.0
372210897,121,,,8,144,,2,10.0,2015.0
372210897,68,,,8,199,0.25,2,2.0,2017.0
282610525,73,,,8,206,,2,2.0,2016.0
